=================================================
Flow Counts S1/S2/S3 \(deduct 2\):
143
148
147
S1 Flows ----------->
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=116.479s, table=0, n_packets=333, n_bytes=43302, priority=0 actions=CONTROLLER:65535
 cookie=0x539, duration=14.383s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=26:17:ec:a9:f6:72,arp_op=2 actions=output:3
 cookie=0x539, duration=15.393s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=2a:cf:9f:19:7f:9d,arp_op=2 actions=output:2
 cookie=0x539, duration=17.459s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=8a:83:f7:69:42:ba,arp_op=2 actions=output:3
 cookie=0x539, duration=13.999s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=9e:ae:9c:9b:63:f9,arp_op=2 actions=output:3
 cookie=0x539, duration=14.874s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=ba:17:e8:7c:48:7b,arp_op=2 actions=output:2
 cookie=0x539, duration=17.398s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=16.086s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=da:6f:69:44:6d:1d,arp_op=2 actions=output:2
 cookie=0x539, duration=16.655s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.365s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=26:17:ec:a9:f6:72,arp_op=2 actions=output:3
 cookie=0x539, duration=15.371s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=2a:cf:9f:19:7f:9d,arp_op=2 actions=output:2
 cookie=0x539, duration=16.672s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=8a:83:f7:69:42:ba,arp_op=2 actions=output:3
 cookie=0x539, duration=13.960s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=9e:ae:9c:9b:63:f9,arp_op=2 actions=output:3
